split,layer,alpha,intervention_type,refusal_score_mean,refusal_score_std,is_refusal_mean,helpfulness_score_mean,helpfulness_score_std,is_helpful_mean,char_length_mean,char_length_std
benign,10,1.0,ablate,0.47325,0.08654821450696389,0.88,0.7055400000000001,0.06010222604660807,0.99,420.72,51.76502465736665
benign,10,1.0,add,0.45475,0.10787753765874122,0.79,0.7176039999999999,0.09373186765525059,0.98,425.31,46.82757863921775
benign,10,2.0,ablate,0.49700000000000005,0.08493015549927668,0.95,0.721,0.1066429897964572,0.97,410.66,41.80310268316688
benign,10,2.0,add,0.45875,0.1018375984823212,0.8,0.7326039999999999,0.11211775188108566,0.98,423.49,46.932251838434745
benign,10,4.0,ablate,0.489,0.04824181513244217,0.95,0.715,0.0657128740672771,1.0,326.79,60.34970395682788
benign,10,4.0,add,0.45475,0.10406479867482722,0.78,0.726596,0.10541068881841023,0.98,424.1,48.075592833189546
benign,10,8.0,ablate,0.4955,0.03165869118066518,0.98,0.706,0.042211588240886916,1.0,228.75,60.58008723744932
benign,10,8.0,add,0.46299999999999997,0.10295384863857664,0.83,0.7267,0.10538239555508923,0.98,425.54,46.18417674721704
harm_test,10,1.0,ablate,0.48424999999999996,0.07870920460078917,0.91,0.7089279999999999,0.09526511447725046,0.97,467.05,51.651586264473664
harm_test,10,1.0,add,0.447,0.12202417379314225,0.78,0.71726,0.09887070426378158,0.98,474.98,47.88306041542745
harm_test,10,2.0,ablate,0.48575,0.08205496741067952,0.9,0.695184,0.09068529077880472,0.95,453.24,53.3596753128704
harm_test,10,2.0,add,0.44975000000000004,0.11819854679583193,0.77,0.720436,0.11126709835237723,0.97,475.74,47.44217532955249
harm_test,10,4.0,ablate,0.49325,0.06749999999999999,0.95,0.70294,0.05214312471021901,0.99,380.03,61.617007851450026
harm_test,10,4.0,add,0.44725000000000004,0.1135345250742627,0.78,0.729564,0.10466394275552264,0.99,475.95,46.380154019458445
harm_test,10,8.0,ablate,0.4955,0.03165869118066519,0.98,0.706,0.042211588240886916,1.0,285.47,76.59501988188966
harm_test,10,8.0,add,0.45575000000000004,0.12231226595906237,0.83,0.717728,0.09838731756982637,0.98,476.97,44.1836056711198
harm_train,10,1.0,ablate,0.46725,0.10799451678935214,0.83,0.708848,0.09961333373894209,0.96,411.73,48.463639395265645
harm_train,10,1.0,add,0.45125,0.1365786394260638,0.78,0.7328,0.11987500560874634,0.97,414.73,48.3467807834318
harm_train,10,2.0,ablate,0.496,0.10339685242263948,0.91,0.690912,0.08999340186812575,0.94,398.0,50.04402102553352
harm_train,10,2.0,add,0.4595,0.13374840695737786,0.8,0.726748,0.12138498607506802,0.96,414.04,49.825538054538285
harm_train,10,4.0,ablate,0.496,0.042598667404585136,0.97,0.709,0.0668104510060841,0.99,307.51,62.93230209093458
harm_train,10,4.0,add,0.45225000000000004,0.1352651249968152,0.76,0.7179079999999999,0.11925571005112497,0.95,409.91,45.659940889363874
harm_train,10,8.0,ablate,0.49774999999999997,0.022499999999999996,0.99,0.706,0.042211588240886895,1.0,226.41,67.33169739986863
harm_train,10,8.0,add,0.42975,0.1387031839300138,0.76,0.720812,0.09779254818649571,0.98,411.8,48.333019852692914
