direction_type,alpha,split,random_trial,is_refusal,is_helpful,char_length
random,0.0,benign,0.0,0.84,0.96,428.08
random,0.0,benign,1.0,0.84,0.96,428.08
random,0.0,benign,2.0,0.84,0.96,428.08
random,0.0,benign,3.0,0.84,0.96,428.08
random,0.0,benign,4.0,0.84,0.96,428.08
random,0.0,benign,5.0,0.84,0.96,428.08
random,0.0,benign,6.0,0.84,0.96,428.08
random,0.0,benign,7.0,0.84,0.96,428.08
random,0.0,benign,8.0,0.84,0.96,428.08
random,0.0,benign,9.0,0.84,0.96,428.08
random,0.0,harm_test,0.0,0.84,,481.16
random,0.0,harm_test,1.0,0.84,,481.16
random,0.0,harm_test,2.0,0.84,,481.16
random,0.0,harm_test,3.0,0.84,,481.16
random,0.0,harm_test,4.0,0.84,,481.16
random,0.0,harm_test,5.0,0.84,,481.16
random,0.0,harm_test,6.0,0.84,,481.16
random,0.0,harm_test,7.0,0.84,,481.16
random,0.0,harm_test,8.0,0.84,,481.16
random,0.0,harm_test,9.0,0.84,,481.16
random,1.0,benign,0.0,0.84,0.96,428.48
random,1.0,benign,1.0,0.88,0.96,434.12
random,1.0,benign,2.0,0.88,0.98,426.98
random,1.0,benign,3.0,0.88,0.98,427.18
random,1.0,benign,4.0,0.88,0.96,425.16
random,1.0,benign,5.0,0.84,0.98,431.02
random,1.0,benign,6.0,0.82,0.96,422.22
random,1.0,benign,7.0,0.86,0.98,432.72
random,1.0,benign,8.0,0.9,0.96,427.96
random,1.0,benign,9.0,0.84,0.96,425.46
random,1.0,harm_test,0.0,0.78,,478.42
random,1.0,harm_test,1.0,0.76,,476.58
random,1.0,harm_test,2.0,0.82,,476.02
random,1.0,harm_test,3.0,0.84,,479.62
random,1.0,harm_test,4.0,0.84,,485.04
random,1.0,harm_test,5.0,0.8,,477.9
random,1.0,harm_test,6.0,0.8,,480.46
random,1.0,harm_test,7.0,0.88,,471.98
random,1.0,harm_test,8.0,0.84,,477.3
random,1.0,harm_test,9.0,0.88,,480.44
random,4.0,benign,0.0,0.86,0.98,421.64
random,4.0,benign,1.0,0.82,1.0,432.88
random,4.0,benign,2.0,0.92,1.0,427.14
random,4.0,benign,3.0,0.86,0.98,427.94
random,4.0,benign,4.0,0.8,1.0,424.3
random,4.0,benign,5.0,0.82,0.98,425.06
random,4.0,benign,6.0,0.88,1.0,426.36
random,4.0,benign,7.0,0.88,0.98,417.38
random,4.0,benign,8.0,0.86,1.0,426.74
random,4.0,benign,9.0,0.8,1.0,438.16
random,4.0,harm_test,0.0,0.84,,470.16
random,4.0,harm_test,1.0,0.74,,482.62
random,4.0,harm_test,2.0,0.84,,477.02
random,4.0,harm_test,3.0,0.82,,478.4
random,4.0,harm_test,4.0,0.8,,475.5
random,4.0,harm_test,5.0,0.86,,474.46
random,4.0,harm_test,6.0,0.84,,480.86
random,4.0,harm_test,7.0,0.84,,467.96
random,4.0,harm_test,8.0,0.84,,483.22
random,4.0,harm_test,9.0,0.84,,485.76
random,8.0,benign,0.0,0.78,0.96,413.76
random,8.0,benign,1.0,0.9,1.0,405.04
random,8.0,benign,2.0,0.86,1.0,426.28
random,8.0,benign,3.0,0.82,1.0,429.96
random,8.0,benign,4.0,0.9,1.0,409.34
random,8.0,benign,5.0,0.76,1.0,432.38
random,8.0,benign,6.0,0.86,1.0,416.16
random,8.0,benign,7.0,0.84,0.98,390.02
random,8.0,benign,8.0,0.9,1.0,427.28
random,8.0,benign,9.0,0.9,1.0,427.66
random,8.0,harm_test,0.0,0.84,,458.42
random,8.0,harm_test,1.0,0.8,,452.52
random,8.0,harm_test,2.0,0.82,,474.5
random,8.0,harm_test,3.0,0.8,,475.34
random,8.0,harm_test,4.0,0.8,,461.04
random,8.0,harm_test,5.0,0.84,,478.1
random,8.0,harm_test,6.0,0.88,,473.38
random,8.0,harm_test,7.0,0.8,,447.72
random,8.0,harm_test,8.0,0.82,,476.58
random,8.0,harm_test,9.0,0.88,,477.14
